Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
1,tt27056066,Sky Force,2025,"Action, Thriller","Skyforce unravels a gripping tale inspired by true events from one of the deadliest air strikes between India and Pakistan. A hero lost, a comrade's quest for truth-an epic tribute to bravery, sacrifice, and unbreakable courage.","Abhishek Anil Kapur, Sandeep Kewlani","Akshay Kumar, Veer Pahariya, Nimrat Kaur",https://m.media-amazon.com/images/M/MV5BZTViYzEwYjMtMDJlNy00ZTdiLWE3YWMtN2Q3MWFiYTFjZGZmXkEyXkFqcGc@._V1_SX300.jpg,7.0,9382
2,tt21194868,Dhoom Dhaam,2025,"Action, Comedy, Romance","Veer Khurana and Koyal Chadda are a mismatched couple, who get into an arranged marriage. A case of mistaken identity forces this newly married couple to go on the run on their wedding night and search for the mysterious ""Charlie"".",Rishab Seth,"Yami Gautam, Pratik Gandhi, Eijaz Khan",Not Available,Not Available,Not Available
3,tt30422937,Nadaaniyan,2025,"Drama, Romance",A privileged Delhi socialite hires a middle-class student to pose as her boyfriend to maintain her social status. Their pretense becomes complicated when genuine feelings develop between them.,Shauna Gautam,"Ibrahim Ali Khan, Khushi Kapoor, Suniel Shetty",https://m.media-amazon.com/images/M/MV5BNDRkNWM0NTQtZmIyNy00MzZmLWI4OTktNzM0NTMzMGJiYzUyXkEyXkFqcGc@._V1_SX300.jpg,3.0,13671
4,tt27922706,Chhaava,2025,"Action, Drama, History","A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj.",Laxman Utekar,"Vicky Kaushal, Akshaye Khanna, Rashmika Mandanna",https://m.media-amazon.com/images/M/MV5BMDMyZjFmZTctNDAxYi00MWM3LWJiYmItM2VhNWZiM2IwNjNlXkEyXkFqcGc@._V1_SX300.jpg,7.9,22839
5,tt28259207,Kill,2023,"Action, Crime, Drama","During a train trip to New Delhi, a pair of commandos face an army of invading bandits.",Nikhil Nagesh Bhat,"Lakshya, Raghav Juyal, Tanya Maniktala",https://m.media-amazon.com/images/M/MV5BZjI1ZjM3NjUtYTc1Ni00ODJmLWI5YjQtMWZiZTAyNTFiZGY1XkEyXkFqcGc@._V1_SX300.jpg,7.5,36573
6,tt12887208,Pippa,2023,"Action, Drama, History",A young Indian Army captain from the 45 Cavalry regiment commanding the amphibious PT-76 war tank comes of age as he and his two siblings fight to liberate Bangladesh in the Indo-Pakistani war of 1971.,Raja Menon,"Ishaan Khatter, Mrunal Thakur, Priyanshu Painyuli",https://m.media-amazon.com/images/M/MV5BMDA1NmZmYzQtMDdmMi00ZDNhLThiZTktMGVmYjFhNzhmZTMxXkEyXkFqcGc@._V1_SX300.jpg,6.2,2747
7,tt1187043,3 Idiots,2009,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh",https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_SX300.jpg,8.4,447504
8,tt1188982,Jai Ho,2014,"Action, Drama","An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",Sohail Khan,"Salman Khan, Daisy Shah, Tabu",https://m.media-amazon.com/images/M/MV5BZjRmYzQ3NzUtNTU3Yy00NDljLTg4YTUtZTNmZjNkODE3ZGJhXkEyXkFqcGc@._V1_SX300.jpg,5.0,21074
9,tt15354916,Jawan,2023,"Action, Crime, Drama",A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi",https://m.media-amazon.com/images/M/MV5BMGExNGI1NDktOWI2Mi00NDM3LWIxMmQtNTQxYTgzMzI0MTA1XkEyXkFqcGc@._V1_SX300.jpg,6.9,101637
10,tt31522415,Sikandar Ka Muqaddar,2024,"Action, Crime, Drama","After an unsolved diamond heist, a hard-nosed cop's pursuit of his key suspect turns into obsession, until they finally face each other and the truth.",Neeraj Pandey,"Jimmy Shergill, Avinash Tiwary, Tamannaah Bhatia",https://m.media-amazon.com/images/M/MV5BYzZhNWEzNTktMDA1YS00ZmYyLTkwNjgtYTJiMmU2YjZiYjBhXkEyXkFqcGc@._V1_SX300.jpg,6.0,22495
